id_user,pvs,pvs_duration,eval_id,eval_item,answer,duration,quest,correct,timestamp
1,Landscapes_013_v_A.jpg,807,0,approach/avoidance,3,2165,,,Thu 01 Sep 2022 21:54:37 +0000
1,Landscapes_013_v_A.jpg,807,1,mos,4,1375,,,Thu 01 Sep 2022 21:54:38 +0000
1,Animals_202_h_B.jpg,645,0,quest,false,1614,Is it sunny?,false,Thu 01 Sep 2022 21:54:41 +0000
1,Animals_202_h_B.jpg,645,1,mos,2,1948,,,Thu 01 Sep 2022 21:54:43 +0000
1,Animals_146_h_A.jpg,617,0,quest,false,1553,Are you sure?,true,Thu 01 Sep 2022 21:54:45 +0000
1,Animals_146_h_A.jpg,617,1,mos,2,1677,,,Thu 01 Sep 2022 21:54:47 +0000
1,Animals_146_h_A.jpg,617,2,arousal,4,1757,,,Thu 01 Sep 2022 21:54:48 +0000
1,Landscapes_001_h_C.jpg,615,0,arousal,4,1980,,,Thu 01 Sep 2022 21:54:51 +0000
1,Landscapes_001_h_C.jpg,615,1,approach/avoidance,4,1851,,,Thu 01 Sep 2022 21:54:53 +0000
1,Landscapes_003_v_B.jpg,635,0,arousal,5,1879,,,Thu 01 Sep 2022 21:54:56 +0000
1,Landscapes_003_v_B.jpg,635,1,valence,5,1775,,,Thu 01 Sep 2022 21:54:58 +0000
