id_user,test_date,max_white,min_black,reliability,screen,browser
1,2022-08-21 22:37:21,247,20,73,2560x1440,Safari 15.6 on Mac
id_user,test_date,max_white,min_black,reliability,screen,browser
1,2022-08-22 23:54:04,247,20,27,2560x1440,Safari 15.6 on Mac
id_user,test_date,max_white,min_black,reliability,screen,browser
1,2022-08-23 13:42:22,248,41,98,2560x1440,Safari 15.6 on Mac
id_user,test_date,max_white,min_black,reliability,screen,browser
1,2022-08-23 14:01:53,247,41,73,2560x1440,Safari 15.6 on Mac
id_user,test_date,max_white,min_black,reliability,screen,browser
1,2022-08-25 23:12:36,247,13,27,2560x1440,Safari 15.6 on Mac
